Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"Nov 24, 2024 - BOS vs. MIN",W,33:42,8,3,10,30.0,2,9,22.2,0,0,0.0,0,4,4,4,0,2,1,3,3
"Nov 19, 2024 - BOS vs. CLE",W,31:36,20,7,11,63.6,4,5,80.0,2,2,100.0,2,5,7,1,0,3,0,3,18
"Nov 16, 2024 - BOS vs. TOR",W,31:56,18,6,11,54.5,5,10,50.0,1,1,100.0,2,2,4,2,1,1,2,1,-7
"Nov 12, 2024 - BOS vs. ATL",L,25:40,8,3,5,60.0,2,4,50.0,0,0,0.0,0,4,4,2,0,0,1,1,3
"Nov 10, 2024 - BOS @ MIL",W,31:41,9,3,7,42.9,2,6,33.3,1,1,100.0,0,7,7,4,0,1,2,1,8
"Nov 08, 2024 - BOS vs. BKN",W,31:24,13,5,12,41.7,3,9,33.3,0,0,0.0,1,9,10,0,1,1,1,2,-2
"Nov 06, 2024 - BOS vs. GSW",L,29:50,10,4,9,44.4,2,6,33.3,0,0,0.0,2,5,7,3,2,0,3,1,-11
"Nov 04, 2024 - BOS @ ATL",W,22:00,9,3,4,75.0,1,2,50.0,2,2,100.0,1,4,5,3,2,2,0,1,23
"Nov 02, 2024 - BOS @ CHA",W,27:08,0,0,4,0.0,0,3,0.0,0,0,0.0,2,4,6,5,1,0,1,3,4
"Oct 30, 2024 - BOS @ IND",L,19:23,8,3,6,50.0,2,4,50.0,0,0,0.0,1,3,4,1,1,0,1,1,-12
"Oct 28, 2024 - BOS vs. MIL",W,27:05,10,4,5,80.0,2,2,100.0,0,0,0.0,0,5,5,1,0,2,0,2,6
"Oct 26, 2024 - BOS @ DET",W,31:59,17,6,10,60.0,5,8,62.5,0,0,0.0,2,3,5,1,3,0,0,0,21
"Oct 24, 2024 - BOS @ WAS",W,20:05,0,0,2,0.0,0,1,0.0,0,0,0.0,1,4,5,1,0,0,2,0,17
"Oct 22, 2024 - BOS vs. NYK",W,26:05,11,4,7,57.1,3,5,60.0,0,0,0.0,0,3,3,5,1,1,0,2,19
