Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"Nov 25, 2024 - BOS vs. LAC",W,31:07,19,6,12,50.0,5,9,55.6,2,2,100.0,2,2,4,7,1,0,1,4,12
"Nov 24, 2024 - BOS vs. MIN",W,37:56,19,7,12,58.3,4,9,44.4,1,2,50.0,2,7,9,5,1,2,2,2,8
"Nov 22, 2024 - BOS @ WAS",W,36:29,10,4,11,36.4,2,8,25.0,0,0,0.0,0,2,2,3,0,1,2,2,3
"Nov 19, 2024 - BOS vs. CLE",W,42:21,19,7,12,58.3,4,7,57.1,1,1,100.0,2,4,6,5,0,1,1,1,17
"Nov 16, 2024 - BOS vs. TOR",W,41:14,18,7,20,35.0,3,12,25.0,1,2,50.0,2,3,5,4,0,2,1,1,1
"Nov 13, 2024 - BOS @ BKN",W,22:01,9,3,11,27.3,3,9,33.3,0,0,0.0,2,0,2,3,0,1,3,3,13
"Nov 12, 2024 - BOS vs. ATL",L,37:52,31,10,15,66.7,7,12,58.3,4,5,80.0,1,5,6,5,1,0,3,2,5
"Nov 10, 2024 - BOS @ MIL",W,36:08,15,6,12,50.0,3,6,50.0,0,0,0.0,2,4,6,6,1,1,0,2,4
"Nov 08, 2024 - BOS vs. BKN",W,42:31,14,5,11,45.5,1,6,16.7,3,4,75.0,1,2,3,6,0,3,3,3,-3
"Nov 06, 2024 - BOS vs. GSW",L,36:18,26,8,19,42.1,7,16,43.8,3,3,100.0,1,5,6,3,2,0,1,5,-11
"Nov 04, 2024 - BOS @ ATL",W,29:19,21,8,16,50.0,4,9,44.4,1,2,50.0,2,4,6,6,2,1,3,3,31
"Nov 02, 2024 - BOS @ CHA",W,33:43,18,5,17,29.4,4,13,30.8,4,4,100.0,1,7,8,2,1,2,3,2,8
"Nov 01, 2024 - BOS @ CHA",W,35:05,17,6,16,37.5,3,10,30.0,2,2,100.0,0,2,2,5,1,1,0,4,20
"Oct 30, 2024 - BOS @ IND",L,37:06,23,8,9,88.9,5,5,100.0,2,2,100.0,1,2,3,1,1,1,2,4,-7
"Oct 28, 2024 - BOS vs. MIL",W,33:34,13,5,13,38.5,3,10,30.0,0,0,0.0,0,3,3,8,1,1,0,2,10
"Oct 26, 2024 - BOS @ DET",W,39:22,17,6,14,42.9,0,6,0.0,5,5,100.0,2,4,6,3,0,3,1,2,7
"Oct 24, 2024 - BOS @ WAS",W,29:16,19,6,11,54.5,4,7,57.1,3,4,75.0,1,3,4,4,1,0,1,1,33
"Oct 22, 2024 - BOS vs. NYK",W,26:38,24,8,13,61.5,6,10,60.0,2,2,100.0,0,3,3,4,1,0,0,1,21
