Player,Team,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Walsh, Jordan",BOS,0.9,0.5,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
"Hauser, Sam",BOS,6.3,3.5,0.3,0.4,1.0,44.4,0.2,0.4,37.5,0.3,0.6,50.0
"Tillman, Xavier",BOS,1.2,0.7,0.0,0.1,0.2,50.0,0.1,0.1,50.0,0.1,0.1,50.0
"Pritchard, Payton",BOS,11.1,6.2,0.6,0.8,1.7,45.2,0.3,0.6,50.0,0.5,1.2,42.9
"Queta, Neemias",BOS,4.0,2.2,0.1,0.3,0.6,45.5,0.2,0.2,75.0,0.1,0.4,28.6
"Kornet, Luke",BOS,3.5,1.9,0.2,0.2,0.6,40.0,0.1,0.2,33.3,0.2,0.4,42.9
"Tatum, Jayson",BOS,33.6,18.8,1.6,2.0,4.3,46.2,0.7,1.4,48.0,1.3,2.9,45.3
"Brown, Jaylen",BOS,12.3,6.9,0.6,0.7,1.4,52.0,0.4,0.5,77.8,0.3,0.9,37.5
"Porziņģis, Kristaps",BOS,0.7,0.4,0.1,0.1,0.2,50.0,0.0,0.1,0.0,0.1,0.2,66.7
"Holiday, Jrue",BOS,15.0,8.4,0.7,1.0,2.3,43.9,0.4,0.5,77.8,0.6,1.8,34.4
"Horford, Al",BOS,11.5,6.4,0.4,0.6,1.0,55.6,0.3,0.6,50.0,0.3,0.4,62.5
