Player,Team,FREQ M%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Walsh, Jordan",BOS,0.4,0.2,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
"Hauser, Sam",BOS,3.5,1.9,0.1,0.1,0.4,12.5,0.0,0.0,-,0.1,0.4,12.5
"Tillman, Xavier",BOS,0.7,0.4,0.1,0.1,0.2,33.3,0.0,0.1,0.0,0.1,0.1,50.0
"Pritchard, Payton",BOS,12.0,6.7,0.7,0.8,1.5,55.6,0.2,0.2,100,0.7,1.3,50.0
"Queta, Neemias",BOS,3.4,1.9,0.4,0.4,0.6,70.0,0.4,0.6,70.0,0.0,0.0,-
"Kornet, Luke",BOS,2.3,1.3,0.1,0.2,0.2,75.0,0.2,0.2,75.0,0.0,0.0,-
"Tatum, Jayson",BOS,37.5,20.9,1.3,2.8,6.7,41.3,1.4,3.3,42.4,1.4,3.4,40.3
"Brown, Jaylen",BOS,17.5,9.8,0.7,1.4,3.5,39.7,1.2,2.8,44.0,0.2,0.7,23.1
"Porziņģis, Kristaps",BOS,1.1,0.6,0.1,0.1,0.3,40.0,0.1,0.2,50.0,0.0,0.1,0.0
"Holiday, Jrue",BOS,13.4,7.5,0.5,0.6,1.6,37.9,0.3,0.7,46.2,0.3,0.9,31.3
"Horford, Al",BOS,8.2,4.6,0.4,0.4,1.1,42.1,0.1,0.3,40.0,0.3,0.8,42.9
