Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"Nov 25, 2024 - BOS vs. LAC",W,30:45,17,6,11,54.5,3,7,42.9,2,4,50.0,0,6,6,4,3,1,3,1,11
"Nov 24, 2024 - BOS vs. MIN",W,36:26,29,10,18,55.6,7,10,70.0,2,2,100.0,1,1,2,4,1,1,1,4,-1
"Nov 22, 2024 - BOS @ WAS",W,37:12,31,11,27,40.7,3,13,23.1,6,8,75.0,3,8,11,5,0,0,3,3,4
"Nov 19, 2024 - BOS vs. CLE",W,37:21,17,7,17,41.2,2,7,28.6,1,2,50.0,0,3,3,8,1,0,4,5,17
"Nov 16, 2024 - BOS vs. TOR",W,42:57,27,8,16,50.0,2,7,28.6,9,10,90.0,2,4,6,7,0,1,3,5,2
"Nov 13, 2024 - BOS @ BKN",W,36:02,24,8,19,42.1,2,5,40.0,6,9,66.7,2,10,12,4,1,0,0,2,27
"Nov 12, 2024 - BOS vs. ATL",L,35:56,37,14,22,63.6,3,6,50.0,6,10,60.0,2,3,5,2,1,0,6,3,0
"Nov 10, 2024 - BOS @ MIL",W,37:25,14,4,13,30.8,1,5,20.0,5,6,83.3,0,5,5,4,0,0,1,3,6
"Nov 01, 2024 - BOS @ CHA",W,36:30,25,8,19,42.1,0,6,0.0,9,10,90.0,3,3,6,5,1,1,1,3,11
"Oct 30, 2024 - BOS @ IND",L,43:08,25,11,30,36.7,1,11,9.1,2,4,50.0,0,6,6,5,2,2,3,4,-13
"Oct 28, 2024 - BOS vs. MIL",W,38:00,30,10,19,52.6,0,4,0.0,10,14,71.4,1,5,6,4,0,0,4,2,8
"Oct 26, 2024 - BOS @ DET",W,38:09,24,6,24,25.0,3,9,33.3,9,10,90.0,3,7,10,5,1,0,2,2,11
"Oct 24, 2024 - BOS @ WAS",W,30:18,27,10,20,50.0,3,6,50.0,4,5,80.0,1,7,8,3,4,0,2,1,22
"Oct 22, 2024 - BOS vs. NYK",W,29:54,23,7,18,38.9,5,9,55.6,4,4,100.0,2,5,7,1,1,0,1,3,23
