Player,Team,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Walsh, Jordan",BOS,0.5,0.2,0.0,0.1,0.1,100.0,0.1,0.1,100.0,0.0,0.0,-
"Hauser, Sam",BOS,3.1,1.4,0.1,0.2,0.9,25.0,0.1,0.6,25.0,0.1,0.3,25.0
"Tillman, Xavier",BOS,2.6,1.1,0.0,0.1,0.4,20.0,0.1,0.3,25.0,0.0,0.1,0.0
"Pritchard, Payton",BOS,12.8,5.6,0.4,0.9,2.5,37.1,0.6,1.6,39.1,0.3,0.9,33.3
"Queta, Neemias",BOS,4.1,1.8,0.1,0.4,0.9,38.5,0.4,0.7,50.0,0.0,0.2,0.0
"Kornet, Luke",BOS,3.1,1.4,0.2,0.2,0.6,37.5,0.1,0.4,20.0,0.1,0.2,66.7
"White, Derrick",BOS,28.6,12.6,0.9,1.8,4.5,39.7,1.6,3.6,44.0,0.2,0.9,23.1
"Tatum, Jayson",BOS,19.2,8.4,1.2,1.9,4.4,41.9,1.1,2.4,44.1,0.8,2.0,39.3
"Porziņģis, Kristaps",BOS,0.5,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-
"Holiday, Jrue",BOS,15.4,6.8,0.4,1.1,3.2,33.3,0.6,1.7,37.5,0.4,1.5,28.6
"Horford, Al",BOS,10.2,4.5,0.5,1.0,2.5,40.0,0.6,1.6,34.8,0.4,0.9,50.0
