Player,Team,FREQ M%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Walsh, Jordan",BOS,0.7,0.2,0.1,0.1,0.1,100.0,0.0,0.0,-,0.1,0.1,100
"Hauser, Sam",BOS,4.6,1.4,0.4,0.4,0.8,45.5,0.1,0.1,100,0.2,0.6,33.3
"Tillman, Xavier",BOS,3.4,1.1,0.1,0.1,0.6,25.0,0.1,0.3,25.0,0.1,0.3,25.0
"Pritchard, Payton",BOS,16.4,5.1,0.7,0.9,1.8,48.0,0.1,0.1,100,0.8,1.7,45.8
"Queta, Neemias",BOS,5.9,1.9,0.8,0.8,1.0,78.6,0.8,1.0,78.6,0.0,0.0,-
"Kornet, Luke",BOS,3.2,1.0,0.1,0.2,0.4,60.0,0.2,0.4,60.0,0.0,0.0,-
"White, Derrick",BOS,28.3,8.9,0.7,0.9,1.8,52.0,0.5,0.6,77.8,0.4,1.1,37.5
"Tatum, Jayson",BOS,12.1,3.8,0.3,0.4,1.6,26.1,0.3,0.9,33.3,0.1,0.8,18.2
"Porziņģis, Kristaps",BOS,1.4,0.4,0.1,0.1,0.2,33.3,0.1,0.1,50.0,0.0,0.1,0.0
"Holiday, Jrue",BOS,12.6,3.9,0.4,0.6,1.4,40.0,0.3,0.6,50.0,0.3,0.9,33.3
"Horford, Al",BOS,11.4,3.6,0.6,0.6,1.0,57.1,0.1,0.2,66.7,0.4,0.8,54.5
