Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"Nov 25, 2024 - BOS vs. LAC",W,30:26,20,7,15,46.7,2,6,33.3,4,6,66.7,1,8,9,4,0,2,3,1,15
"Nov 24, 2024 - BOS vs. MIN",W,38:25,26,8,21,38.1,5,12,41.7,5,6,83.3,0,8,8,4,2,0,1,4,7
"Nov 22, 2024 - BOS @ WAS",W,37:14,16,6,19,31.6,0,10,0.0,4,6,66.7,1,8,9,8,2,0,3,2,20
"Nov 19, 2024 - BOS vs. CLE",W,37:38,33,11,22,50.0,6,10,60.0,5,7,71.4,0,12,12,7,2,0,4,3,2
"Nov 16, 2024 - BOS vs. TOR",W,41:39,24,7,19,36.8,5,12,41.7,5,5,100.0,0,11,11,9,0,0,2,3,1
"Nov 13, 2024 - BOS @ BKN",W,35:23,36,12,19,63.2,5,6,83.3,7,9,77.8,1,8,9,10,0,0,1,3,24
"Nov 12, 2024 - BOS vs. ATL",L,37:26,20,5,16,31.3,2,9,22.2,8,8,100.0,0,6,6,8,1,2,5,3,4
"Nov 10, 2024 - BOS @ MIL",W,40:12,31,7,21,33.3,4,12,33.3,13,15,86.7,0,12,12,6,0,0,5,3,9
"Nov 08, 2024 - BOS vs. BKN",W,42:21,33,11,25,44.0,5,13,38.5,6,7,85.7,0,9,9,6,2,1,3,3,10
"Nov 06, 2024 - BOS vs. GSW",L,36:45,32,10,20,50.0,5,10,50.0,7,9,77.8,0,4,4,2,1,1,4,3,-5
"Nov 04, 2024 - BOS @ ATL",W,30:29,28,10,21,47.6,6,14,42.9,2,3,66.7,0,6,6,9,2,0,1,0,27
"Nov 02, 2024 - BOS @ CHA",W,33:44,29,7,15,46.7,1,9,11.1,14,17,82.4,0,7,7,3,0,0,5,3,4
"Nov 01, 2024 - BOS @ CHA",W,35:37,32,9,19,47.4,3,9,33.3,11,13,84.6,1,10,11,3,3,1,5,1,16
"Oct 30, 2024 - BOS @ IND",L,43:22,37,10,25,40.0,5,18,27.8,12,15,80.0,1,7,8,4,4,0,3,3,-7
"Oct 28, 2024 - BOS vs. MIL",W,36:25,15,6,16,37.5,1,8,12.5,2,2,100.0,0,8,8,4,2,1,3,5,18
"Oct 26, 2024 - BOS @ DET",W,38:08,37,12,26,46.2,6,13,46.2,7,9,77.8,1,3,4,2,2,1,1,5,1
"Oct 24, 2024 - BOS @ WAS",W,28:39,25,9,20,45.0,3,11,27.3,4,7,57.1,2,9,11,6,1,0,1,1,14
"Oct 22, 2024 - BOS vs. NYK",W,30:18,37,14,18,77.8,8,11,72.7,1,2,50.0,0,4,4,10,1,1,1,1,26
