Player,Team,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Walsh, Jordan",BOS,1.5,0.8,0.0,0.1,0.2,25.0,0.0,0.0,-,0.1,0.2,25.0
"Hauser, Sam",BOS,2.7,1.4,0.1,0.2,0.7,23.1,0.1,0.3,40.0,0.1,0.4,12.5
"Tillman, Xavier",BOS,0.8,0.4,0.1,0.1,0.2,33.3,0.0,0.0,-,0.1,0.2,33.3
"Pritchard, Payton",BOS,17.9,9.5,0.5,1.5,3.6,41.5,0.7,1.6,42.9,0.8,2.1,40.5
"Queta, Neemias",BOS,4.2,2.2,0.1,0.5,1.2,42.9,0.3,0.4,62.5,0.2,0.7,30.8
"Kornet, Luke",BOS,5.1,2.7,0.2,0.6,1.3,41.7,0.3,0.7,38.5,0.3,0.6,45.5
"White, Derrick",BOS,39.5,20.9,1.3,2.8,6.7,41.3,1.4,3.3,42.4,1.4,3.4,40.3
"Brown, Jaylen",BOS,5.6,2.9,0.2,0.3,1.3,26.1,0.2,0.7,33.3,0.1,0.6,18.2
"Porziņģis, Kristaps",BOS,0.5,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-
"Holiday, Jrue",BOS,13.3,7.1,0.9,1.4,3.5,41.3,0.8,1.7,45.2,0.7,1.8,37.5
"Horford, Al",BOS,8.8,4.7,0.3,0.6,1.6,37.9,0.4,1.1,42.1,0.2,0.6,30.0
