Player,Team,FREQ M%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Walsh, Jordan",BOS,0.6,0.3,0.1,0.1,0.2,25.0,0.0,0.0,-,0.1,0.2,25.0
"Hauser, Sam",BOS,3.3,1.9,0.6,0.6,0.9,62.5,0.0,0.0,-,0.6,0.9,62.5
"Tillman, Xavier",BOS,1.0,0.6,0.1,0.1,0.2,25.0,0.0,0.0,-,0.1,0.2,25.0
"Pritchard, Payton",BOS,15.1,8.6,0.6,0.8,2.2,38.5,0.2,0.5,33.3,0.7,1.7,40.0
"Queta, Neemias",BOS,3.3,1.9,0.3,0.3,0.6,45.5,0.3,0.6,50.0,0.0,0.1,0.0
"Kornet, Luke",BOS,4.0,2.3,0.4,0.4,0.4,87.5,0.4,0.4,87.5,0.0,0.0,-
"White, Derrick",BOS,33.0,18.8,1.6,2.0,4.3,46.2,0.7,1.4,48.0,1.3,2.9,45.3
"Brown, Jaylen",BOS,11.5,6.6,0.9,1.4,3.4,41.9,0.8,1.9,44.1,0.6,1.6,39.3
"Porziņģis, Kristaps",BOS,0.5,0.3,0.1,0.1,0.2,33.3,0.0,0.0,-,0.1,0.2,33.3
"Holiday, Jrue",BOS,17.3,9.9,0.7,1.1,2.9,35.8,0.6,1.6,39.3,0.4,1.4,32.0
"Horford, Al",BOS,10.3,5.9,0.7,0.8,1.9,40.0,0.3,0.4,62.5,0.5,1.5,33.3
