Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"Nov 25, 2024 - BOS vs. LAC",W,29:04,5,2,10,20.0,1,8,12.5,0,0,0.0,1,3,4,6,0,0,1,1,13
"Nov 24, 2024 - BOS vs. MIN",W,36:31,9,3,10,30.0,1,6,16.7,2,2,100.0,1,3,4,3,1,1,1,2,-4
"Nov 22, 2024 - BOS @ WAS",W,28:57,16,3,6,50.0,2,5,40.0,8,8,100.0,1,4,5,1,4,1,2,2,10
"Nov 19, 2024 - BOS vs. CLE",W,27:56,11,4,7,57.1,3,4,75.0,0,0,0.0,1,4,5,4,0,0,1,2,3
"Nov 13, 2024 - BOS @ BKN",W,31:34,16,6,11,54.5,2,6,33.3,2,2,100.0,3,3,6,4,3,1,2,0,18
"Nov 12, 2024 - BOS vs. ATL",L,29:00,8,2,5,40.0,0,3,0.0,4,4,100.0,1,2,3,7,0,0,2,0,3
"Nov 10, 2024 - BOS @ MIL",W,32:44,15,5,11,45.5,3,8,37.5,2,2,100.0,2,0,2,3,2,0,0,2,15
"Nov 08, 2024 - BOS vs. BKN",W,36:56,17,8,14,57.1,0,4,0.0,1,1,100.0,0,2,2,5,0,0,3,0,3
"Nov 06, 2024 - BOS vs. GSW",L,32:34,6,3,11,27.3,0,6,0.0,0,0,0.0,1,8,9,8,0,0,1,1,-11
"Nov 04, 2024 - BOS @ ATL",W,23:30,16,7,11,63.6,2,6,33.3,0,0,0.0,0,3,3,2,0,1,1,0,20
"Nov 02, 2024 - BOS @ CHA",W,35:18,13,5,12,41.7,3,7,42.9,0,0,0.0,0,5,5,6,0,0,3,0,11
"Nov 01, 2024 - BOS @ CHA",W,31:56,14,5,12,41.7,3,6,50.0,1,2,50.0,0,5,5,1,1,0,0,2,6
"Oct 30, 2024 - BOS @ IND",L,24:40,8,3,9,33.3,1,3,33.3,1,2,50.0,1,2,3,4,0,0,3,2,-19
"Oct 28, 2024 - BOS vs. MIL",W,32:43,21,7,12,58.3,4,7,57.1,3,3,100.0,0,4,4,3,0,0,1,2,6
"Oct 26, 2024 - BOS @ DET",W,35:39,7,2,5,40.0,2,3,66.7,1,2,50.0,1,2,3,4,0,1,3,2,-2
"Oct 24, 2024 - BOS @ WAS",W,22:45,7,1,4,25.0,0,1,0.0,5,5,100.0,0,2,2,1,0,0,2,3,14
"Oct 22, 2024 - BOS vs. NYK",W,30:31,18,7,9,77.8,4,6,66.7,0,0,0.0,2,2,4,4,1,0,0,2,23
