Player,Team,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Walsh, Jordan",BOS,0.3,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Hauser, Sam",BOS,3.6,1.3,0.1,0.1,0.1,50.0,0.1,0.1,100,0.0,0.1,0.0
"Tillman, Xavier",BOS,2.8,1.0,0.0,0.1,0.2,50.0,0.1,0.1,50.0,0.1,0.1,50.0
"Pritchard, Payton",BOS,10.7,3.8,0.2,0.4,0.9,43.8,0.3,0.5,66.7,0.1,0.4,14.3
"Queta, Neemias",BOS,3.8,1.4,0.1,0.2,0.3,80.0,0.2,0.2,100,0.1,0.1,50.0
"Kornet, Luke",BOS,4.3,1.5,0.2,0.2,0.3,66.7,0.2,0.2,100,0.1,0.2,33.3
"White, Derrick",BOS,22.2,7.9,0.5,0.7,1.7,37.9,0.3,0.8,46.2,0.3,0.9,31.3
"Tatum, Jayson",BOS,29.3,10.5,0.7,1.1,3.1,35.8,0.7,1.6,39.3,0.5,1.5,32.0
"Brown, Jaylen",BOS,9.0,3.2,0.3,0.5,1.2,40.0,0.2,0.5,50.0,0.2,0.7,33.3
"Porziņģis, Kristaps",BOS,0.5,0.2,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
"Horford, Al",BOS,13.5,4.8,0.5,0.8,1.4,56.5,0.2,0.4,57.1,0.5,0.9,56.3
