Player,Team,FREQ M%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Walsh, Jordan",BOS,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
"Hauser, Sam",BOS,4.6,1.6,0.1,0.1,0.8,14.3,0.1,0.2,33.3,0.1,0.7,9.1
"Tillman, Xavier",BOS,1.7,0.6,0.1,0.1,0.3,20.0,0.1,0.2,33.3,0.0,0.1,0.0
"Pritchard, Payton",BOS,12.9,4.5,0.5,0.6,1.0,58.8,0.2,0.2,100,0.4,0.8,50.0
"Queta, Neemias",BOS,4.3,1.5,0.3,0.3,0.8,46.2,0.3,0.8,46.2,0.0,0.0,-
"Kornet, Luke",BOS,4.4,1.5,0.2,0.2,0.4,57.1,0.2,0.4,57.1,0.0,0.0,-
"White, Derrick",BOS,25.7,8.9,0.8,1.1,2.4,43.9,0.4,0.5,77.8,0.7,1.9,34.4
"Tatum, Jayson",BOS,21.6,7.5,1.0,1.5,3.7,41.3,0.8,1.8,45.2,0.7,1.9,37.5
"Brown, Jaylen",BOS,16.2,5.6,0.3,0.9,2.6,33.3,0.5,1.4,37.5,0.3,1.2,28.6
"Porziņģis, Kristaps",BOS,0.3,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
"Horford, Al",BOS,8.2,2.8,0.5,0.5,1.1,47.4,0.1,0.2,50.0,0.4,0.9,46.7
