Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"Nov 25, 2024 - BOS vs. LAC",W,25:17,12,5,6,83.3,0,0,0.0,2,2,100.0,2,7,9,3,2,4,1,3,29
"Nov 22, 2024 - BOS @ WAS",W,18:18,7,1,3,33.3,0,0,0.0,5,6,83.3,0,2,2,0,0,1,0,4,-10
"Nov 19, 2024 - BOS vs. CLE",W,16:24,5,2,5,40.0,0,0,0.0,1,2,50.0,3,1,4,2,0,0,3,3,-15
"Nov 16, 2024 - BOS vs. TOR",W,33:07,12,6,8,75.0,0,1,0.0,0,0,0.0,4,4,8,2,0,1,0,2,-5
"Nov 13, 2024 - BOS @ BKN",W,21:16,8,4,4,100.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,4,19
"Nov 12, 2024 - BOS vs. ATL",L,21:01,0,0,0,0.0,0,0,0.0,0,0,0.0,2,3,5,0,0,2,1,1,-6
"Nov 10, 2024 - BOS @ MIL",W,20:35,8,3,6,50.0,0,0,0.0,2,2,100.0,1,6,7,0,1,0,1,1,-1
"Nov 08, 2024 - BOS vs. BKN",W,26:33,3,1,2,50.0,0,0,0.0,1,2,50.0,1,9,10,2,0,3,2,2,7
"Nov 06, 2024 - BOS vs. GSW",L,28:09,14,6,11,54.5,0,0,0.0,2,4,50.0,5,3,8,0,0,2,1,2,13
"Nov 04, 2024 - BOS @ ATL",W,23:11,10,4,7,57.1,0,0,0.0,2,2,100.0,2,5,7,0,1,1,0,2,31
"Nov 02, 2024 - BOS @ CHA",W,15:28,4,2,4,50.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,0,3,3
"Nov 01, 2024 - BOS @ CHA",W,24:29,12,6,6,100.0,0,0,0.0,0,0,0.0,4,2,6,1,0,0,2,2,-1
"Oct 30, 2024 - BOS @ IND",L,13:39,2,1,2,50.0,0,0,0.0,0,0,0.0,4,5,9,1,0,1,0,0,18
"Oct 28, 2024 - BOS vs. MIL",W,1:49,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-5
"Oct 24, 2024 - BOS @ WAS",W,13:38,12,5,7,71.4,0,1,0.0,2,2,100.0,4,3,7,0,0,0,1,4,6
"Oct 22, 2024 - BOS vs. NYK",W,4:20,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-3
