Player,Team,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Peterson, Drew",BOS,0.6,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Walsh, Jordan",BOS,1.8,0.2,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Scheierman, Baylor",BOS,1.2,0.1,0.1,0.1,0.1,50.0,0.1,0.1,50.0,0.0,0.0,-
"Davison, JD",BOS,1.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
"Hauser, Sam",BOS,1.8,0.2,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Springer, Jaden",BOS,1.2,0.1,0.1,0.1,0.1,50.0,0.1,0.1,50.0,0.0,0.0,-
"Pritchard, Payton",BOS,18.7,2.0,0.2,0.2,0.4,42.9,0.2,0.4,42.9,0.0,0.0,-
"White, Derrick",BOS,19.9,2.1,0.4,0.4,0.6,70.0,0.4,0.6,70.0,0.0,0.0,-
"Tatum, Jayson",BOS,19.9,2.1,0.3,0.3,0.7,45.5,0.3,0.6,50.0,0.0,0.1,0.0
"Brown, Jaylen",BOS,15.2,1.6,0.7,0.7,0.9,78.6,0.7,0.9,78.6,0.0,0.0,-
"Holiday, Jrue",BOS,14.6,1.6,0.4,0.4,0.8,46.2,0.4,0.8,46.2,0.0,0.0,-
"Horford, Al",BOS,4.1,0.4,0.1,0.1,0.1,50.0,0.1,0.1,50.0,0.0,0.0,-
