Player,Team,FREQ M%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Peterson, Drew",BOS,0.5,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
"Walsh, Jordan",BOS,1.5,0.2,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
"Davison, JD",BOS,1.0,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Hauser, Sam",BOS,6.0,0.8,0.3,0.4,0.4,85.7,0.1,0.1,100,0.3,0.3,80.0
"Springer, Jaden",BOS,0.5,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Tillman, Xavier",BOS,0.5,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Pritchard, Payton",BOS,23.1,2.9,0.2,0.3,0.7,36.4,0.1,0.3,40.0,0.1,0.4,33.3
"White, Derrick",BOS,20.1,2.5,0.1,0.3,0.7,45.5,0.2,0.3,75.0,0.1,0.4,28.6
"Tatum, Jayson",BOS,20.1,2.5,0.1,0.6,1.3,42.9,0.3,0.5,62.5,0.3,0.8,30.8
"Brown, Jaylen",BOS,12.6,1.6,0.1,0.3,0.8,38.5,0.3,0.6,50.0,0.0,0.2,0.0
"Holiday, Jrue",BOS,11.6,1.4,0.1,0.3,0.3,80.0,0.2,0.2,100,0.1,0.1,50.0
"Horford, Al",BOS,2.5,0.3,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
