Player,Team,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Peterson, Drew",BOS,0.4,0.2,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Walsh, Jordan",BOS,5.6,2.2,0.1,0.1,0.6,20.0,0.0,0.0,-,0.1,0.6,20.0
"Scheierman, Baylor",BOS,0.3,0.1,0.0,0.1,0.1,50.0,0.1,0.1,100,0.0,0.1,0.0
"Davison, JD",BOS,0.4,0.2,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Hauser, Sam",BOS,12.3,4.9,0.3,0.4,1.1,42.1,0.2,0.4,57.1,0.2,0.7,33.3
"Springer, Jaden",BOS,0.1,0.1,0.0,0.1,0.1,100,0.1,0.1,100,0.0,0.0,-
"Tillman, Xavier",BOS,4.9,1.9,0.2,0.2,0.7,33.3,0.1,0.1,100,0.2,0.6,27.3
"Queta, Neemias",BOS,6.4,2.6,0.2,0.2,0.6,36.4,0.1,0.3,40.0,0.1,0.3,33.3
"Kornet, Luke",BOS,5.7,2.3,0.3,0.4,0.6,63.6,0.1,0.1,50.0,0.3,0.5,66.7
"White, Derrick",BOS,16.9,6.7,0.7,0.8,1.5,55.6,0.2,0.2,100,0.7,1.3,50.0
"Tatum, Jayson",BOS,21.7,8.6,0.6,0.8,2.2,38.5,0.2,0.5,33.3,0.7,1.7,40.0
"Brown, Jaylen",BOS,10.1,4.0,0.6,0.7,1.4,48.0,0.1,0.1,100,0.6,1.3,45.8
"Holiday, Jrue",BOS,10.6,4.2,0.4,0.6,0.9,58.8,0.2,0.2,100,0.4,0.8,50.0
"Horford, Al",BOS,4.5,1.8,0.1,0.3,0.4,62.5,0.1,0.1,100,0.2,0.4,57.1
