Player,Team,FREQ M%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Peterson, Drew",BOS,0.3,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Walsh, Jordan",BOS,2.3,0.8,0.1,0.1,0.3,20.0,0.1,0.2,33.3,0.0,0.1,0.0
"Davison, JD",BOS,0.7,0.2,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Hauser, Sam",BOS,7.3,2.4,0.6,0.6,1.4,40.0,0.1,0.2,66.7,0.4,1.2,36.4
"Tillman, Xavier",BOS,3.2,1.1,0.0,0.1,0.2,25.0,0.1,0.2,33.3,0.0,0.1,0.0
"Queta, Neemias",BOS,5.3,1.8,0.2,0.2,0.4,42.9,0.2,0.4,42.9,0.0,0.0,-
"Kornet, Luke",BOS,5.8,1.9,0.2,0.2,0.3,50.0,0.2,0.3,50.0,0.0,0.0,-
"White, Derrick",BOS,18.7,6.2,0.6,0.8,1.7,45.2,0.3,0.6,50.0,0.5,1.2,42.9
"Tatum, Jayson",BOS,28.5,9.5,0.5,1.5,3.6,41.5,0.7,1.6,42.9,0.8,2.1,40.5
"Brown, Jaylen",BOS,13.2,4.4,0.3,0.7,1.9,37.1,0.5,1.3,39.1,0.2,0.7,33.3
"Porziņģis, Kristaps",BOS,0.2,0.1,0.1,0.1,0.1,100,0.1,0.1,100,0.0,0.0,-
"Holiday, Jrue",BOS,10.8,3.6,0.2,0.4,0.9,43.8,0.3,0.5,66.7,0.1,0.4,14.3
"Horford, Al",BOS,3.7,1.2,0.3,0.3,0.3,83.3,0.2,0.2,75.0,0.1,0.1,100
