Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"Nov 25, 2024 - BOS vs. LAC",W,23:00,9,3,3,100,3,3,100,0,0,0.0,0,2,2,0,0,0,0,0,27
"Nov 24, 2024 - BOS vs. MIN",W,20:21,5,2,7,28.6,1,5,20.0,0,0,0.0,3,2,5,2,0,0,0,2,1
"Nov 22, 2024 - BOS @ WAS",W,21:50,13,5,7,71.4,3,5,60.0,0,0,0.0,0,3,3,0,3,0,1,2,11
"Nov 19, 2024 - BOS vs. CLE",W,21:01,2,1,3,33.3,0,2,0.0,0,0,0.0,0,3,3,2,0,0,0,0,-13
"Nov 16, 2024 - BOS vs. TOR",W,25:24,14,5,12,41.7,3,10,30.0,1,1,100,0,0,0,1,0,1,0,2,8
"Nov 13, 2024 - BOS @ BKN",W,25:37,12,4,10,40.0,4,10,40.0,0,0,0.0,1,5,6,1,0,1,0,0,10
"Nov 12, 2024 - BOS vs. ATL",L,19:06,6,2,3,66.7,2,3,66.7,0,0,0.0,0,2,2,0,0,1,1,0,-3
"Nov 10, 2024 - BOS @ MIL",W,12:29,3,1,6,16.7,1,5,20.0,0,0,0.0,1,0,1,1,1,0,0,2,0
"Nov 08, 2024 - BOS vs. BKN",W,35:13,8,3,11,27.3,2,10,20.0,0,0,0.0,1,3,4,3,3,0,0,1,15
"Nov 06, 2024 - BOS vs. GSW",L,21:47,6,2,5,40.0,2,5,40.0,0,0,0.0,0,5,5,1,0,0,0,1,4
"Nov 04, 2024 - BOS @ ATL",W,19:30,10,4,11,36.4,2,8,25.0,0,0,0.0,1,1,2,1,1,0,1,1,8
"Nov 02, 2024 - BOS @ CHA",W,19:39,8,3,7,42.9,2,6,33.3,0,0,0.0,3,4,7,1,0,0,0,1,5
"Nov 01, 2024 - BOS @ CHA",W,17:31,6,2,3,66.7,2,3,66.7,0,0,0.0,1,4,5,2,0,0,1,0,-8
"Oct 30, 2024 - BOS @ IND",L,13:50,5,2,6,33.3,1,4,25.0,0,0,0.0,0,2,2,1,1,1,1,0,12
"Oct 22, 2024 - BOS vs. NYK",W,24:10,10,4,10,40.0,2,7,28.6,0,0,0.0,1,4,5,1,0,0,0,2,6
