Player,Team,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Walsh, Jordan",BOS,1.9,0.3,0.1,0.1,0.2,66.7,0.1,0.1,100,0.1,0.1,50.0
"Tillman, Xavier",BOS,1.9,0.3,0.1,0.1,0.2,33.3,0.0,0.0,-,0.1,0.2,33.3
"Pritchard, Payton",BOS,21.4,2.9,0.7,0.7,1.7,40.0,0.1,0.2,66.7,0.5,1.5,36.4
"Queta, Neemias",BOS,5.8,0.8,0.3,0.4,0.5,85.7,0.1,0.1,100,0.3,0.3,80.0
"Kornet, Luke",BOS,6.3,0.9,0.1,0.2,0.5,42.9,0.1,0.1,100,0.1,0.3,20.0
"White, Derrick",BOS,17.0,2.3,0.1,0.1,0.5,12.5,0.0,0.0,-,0.1,0.5,12.5
"Tatum, Jayson",BOS,16.5,2.3,0.7,0.7,1.1,62.5,0.0,0.0,-,0.7,1.1,62.5
"Brown, Jaylen",BOS,9.7,1.3,0.3,0.3,0.7,45.5,0.1,0.1,100,0.2,0.6,33.3
"Holiday, Jrue",BOS,13.1,1.8,0.1,0.1,0.9,14.3,0.1,0.2,33.3,0.1,0.7,9.1
"Horford, Al",BOS,6.3,0.9,0.1,0.1,0.4,33.3,0.1,0.2,66.7,0.0,0.2,0.0
