Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"Nov 25, 2024 - BOS vs. LAC",W,48,126,45,88,51.1,22,51,43.1,14,20,70.0,8,39,47,33,11,10,11,12,32
"Nov 24, 2024 - BOS vs. MIN",W,48,107,37,87,42.5,21,56,37.5,12,15,80.0,8,32,40,25,7,5,7,23,2
"Nov 22, 2024 - BOS @ WAS",W,48,108,36,85,42.4,11,46,23.9,25,32,78.1,10,33,43,22,12,11,7,19,12
"Nov 19, 2024 - BOS vs. CLE",W,48,120,44,86,51.2,22,41,53.7,10,14,71.4,9,33,42,32,13,4,4,19,3
"Nov 16, 2024 - BOS vs. TOR",W,53,126,44,99,44.4,21,61,34.4,17,19,89.5,14,28,42,30,9,2,6,20,3
"Nov 13, 2024 - BOS @ BKN",W,48,139,50,93,53.8,22,46,47.8,17,24,70.8,12,33,45,35,8,7,6,17,25
"Nov 12, 2024 - BOS vs. ATL",L,48,116,38,75,50.7,18,45,40.0,22,27,81.5,6,28,34,28,20,7,5,12,-1
"Nov 10, 2024 - BOS @ MIL",W,48,113,35,86,40.7,19,50,38.0,24,27,88.9,8,34,42,27,12,5,2,16,6
"Nov 08, 2024 - BOS vs. BKN",W,53,108,39,90,43.3,14,53,26.4,16,19,84.2,4,35,39,23,13,7,9,15,4
"Nov 06, 2024 - BOS vs. GSW",L,48,112,38,90,42.2,19,54,35.2,17,21,81.0,13,34,47,22,12,5,3,18,-6
"Nov 04, 2024 - BOS @ ATL",W,48,123,48,99,48.5,18,55,32.7,9,13,69.2,11,39,50,27,13,15,7,14,30
"Nov 02, 2024 - BOS @ CHA",W,48,113,36,82,43.9,16,52,30.8,25,28,89.3,8,36,44,23,15,4,4,17,10
"Nov 01, 2024 - BOS @ CHA",W,48,124,41,86,47.7,13,42,31.0,29,35,82.9,11,30,41,21,10,12,5,13,15
"Oct 30, 2024 - BOS @ IND",L,53,132,44,109,40.4,19,57,33.3,25,31,80.6,18,33,51,23,14,11,5,19,-3
"Oct 28, 2024 - BOS vs. MIL",W,48,119,43,87,49.4,18,47,38.3,15,19,78.9,4,34,38,24,14,5,5,18,11
"Oct 26, 2024 - BOS @ DET",W,48,124,38,90,42.2,22,48,45.8,26,30,86.7,13,24,37,19,10,10,6,16,6
"Oct 24, 2024 - BOS @ WAS",W,48,122,42,90,46.7,17,45,37.8,21,27,77.8,12,37,49,21,14,7,3,19,20
"Oct 22, 2024 - BOS vs. NYK",W,48,132,48,95,50.5,29,61,47.5,7,8,87.5,11,29,40,33,4,6,3,15,23
