Player,GP,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Tatum, Jayson",18,20.5,57.0,5.8,7.5,17.4,43.1,3.2,6.8,47.5,4.3,10.6,40.3
"White, Derrick",18,20.1,55.8,4.4,6.8,16.1,42.4,3.9,8.3,47.0,2.9,7.8,37.6
"Holiday, Jrue",17,11.8,34.6,3.9,5.3,13.3,40.3,2.8,5.7,48.5,2.6,7.6,34.1
"Pritchard, Payton",18,12.0,33.3,2.9,4.7,11.2,42.3,2.6,5.4,47.4,2.2,5.8,37.5
"Brown, Jaylen",14,8.8,31.3,4.4,5.1,10.7,47.3,2.6,4.3,60.0,2.5,6.4,38.9
"Horford, Al",14,8.0,28.6,2.3,4.0,8.7,45.9,2.1,4.6,44.6,1.9,4.1,47.4
"Porziņģis, Kristaps",1,0.4,18.0,2.0,2.0,7.0,28.6,0.0,3.0,0.0,2.0,4.0,50.0
"Hauser, Sam",15,4.8,16.1,1.1,1.7,4.7,35.7,0.9,2.2,42.4,0.7,2.5,29.7
"Kornet, Luke",14,3.8,13.6,1.6,2.3,4.9,47.1,0.9,2.0,46.4,1.4,2.9,47.5
"Queta, Neemias",16,4.0,12.4,0.8,2.1,4.4,46.5,1.3,2.0,62.5,0.8,2.4,33.3
"Tillman, Xavier",12,2.2,9.0,0.5,1.0,3.3,30.8,0.3,1.1,30.8,0.7,2.2,30.8
"Davison, JD",3,0.5,9.0,0.3,0.3,2.3,14.3,0.3,0.7,50.0,0.0,1.7,0.0
"Walsh, Jordan",14,2.1,7.4,0.2,0.5,1.7,29.2,0.2,0.4,60.0,0.3,1.4,21.1
"Scheierman, Baylor",3,0.4,6.3,0.3,0.7,2.7,25.0,0.7,1.0,66.7,0.0,1.7,0.0
"Peterson, Drew",3,0.3,4.3,0.3,0.3,0.3,100,0.0,0.0,-,0.3,0.3,100
"Springer, Jaden",4,0.3,4.3,0.8,1.0,1.5,66.7,0.8,1.0,75.0,0.3,0.5,50.0
