Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"Nov 25, 2024 - BOS vs. LAC",W,4:33,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,4
"Nov 24, 2024 - BOS vs. MIN",W,14:18,3,1,2,50.0,0,0,0.0,1,2,50.0,0,4,4,0,0,1,0,4,-1
"Nov 22, 2024 - BOS @ WAS",W,8:37,0,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,2,0,1,2
"Nov 13, 2024 - BOS @ BKN",W,1:44,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2
"Nov 10, 2024 - BOS @ MIL",W,0:14,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2
"Nov 08, 2024 - BOS vs. BKN",W,5:52,0,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-14
"Nov 04, 2024 - BOS @ ATL",W,9:09,2,1,2,50.0,0,1,0.0,0,0,0.0,1,2,3,2,0,0,0,0,-3
"Nov 02, 2024 - BOS @ CHA",W,2:56,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-1
"Oct 30, 2024 - BOS @ IND",L,7:38,0,0,3,0.0,0,1,0.0,0,0,0.0,1,1,2,0,1,0,0,0,2
"Oct 28, 2024 - BOS vs. MIL",W,14:58,0,0,3,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,1,2,10
"Oct 26, 2024 - BOS @ DET",W,18:07,3,1,2,50.0,1,2,50.0,0,0,0.0,1,2,3,1,2,0,1,2,2
"Oct 24, 2024 - BOS @ WAS",W,15:26,8,3,4,75.0,2,3,66.7,0,0,0.0,0,1,1,1,0,0,1,1,15
"Oct 22, 2024 - BOS vs. NYK",W,17:42,2,1,6,16.7,0,3,0.0,0,0,0.0,3,4,7,2,0,0,0,1,-3
