Player,Team,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Walsh, Jordan",BOS,5.3,0.3,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Scheierman, Baylor",BOS,2.6,0.2,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Davison, JD",BOS,2.6,0.2,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Springer, Jaden",BOS,2.6,0.2,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Pritchard, Payton",BOS,25.0,1.6,0.0,0.1,0.3,25.0,0.1,0.3,33.3,0.0,0.1,0.0
"Queta, Neemias",BOS,1.3,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Kornet, Luke",BOS,2.6,0.2,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
"White, Derrick",BOS,9.2,0.6,0.1,0.1,0.3,33.3,0.0,0.1,0.0,0.1,0.2,50.0
"Tatum, Jayson",BOS,13.2,0.8,0.1,0.1,0.3,25.0,0.0,0.0,-,0.1,0.3,25.0
"Brown, Jaylen",BOS,19.7,1.3,0.2,0.2,0.7,25.0,0.1,0.3,25.0,0.1,0.3,25.0
"Holiday, Jrue",BOS,13.2,0.8,0.1,0.1,0.4,20.0,0.1,0.3,33.3,0.0,0.2,0.0
"Horford, Al",BOS,2.6,0.2,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
