Player,Team,FREQ M%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Walsh, Jordan",BOS,1.9,0.2,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
"Scheierman, Baylor",BOS,2.8,0.3,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0
"Davison, JD",BOS,4.6,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,-
"Hauser, Sam",BOS,3.7,0.3,0.1,0.1,0.3,33.3,0.0,0.0,-,0.1,0.3,33.3
"Springer, Jaden",BOS,0.9,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-
"Pritchard, Payton",BOS,32.4,2.9,0.3,0.3,1.0,33.3,0.1,0.1,100,0.3,0.9,27.3
"Kornet, Luke",BOS,0.9,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"White, Derrick",BOS,11.1,1.0,0.0,0.2,0.3,50.0,0.1,0.2,50.0,0.1,0.2,50.0
"Tatum, Jayson",BOS,7.4,0.7,0.1,0.1,0.3,33.3,0.0,0.0,-,0.1,0.3,33.3
"Brown, Jaylen",BOS,14.8,1.3,0.0,0.1,0.4,20.0,0.1,0.3,25.0,0.0,0.1,0.0
"Holiday, Jrue",BOS,15.7,1.4,0.0,0.2,0.3,50.0,0.1,0.2,50.0,0.1,0.2,50.0
"Horford, Al",BOS,3.7,0.3,0.1,0.1,0.2,50.0,0.0,0.0,-,0.1,0.2,50.0
