Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Nov 23, 2024 - LAL vs. DEN,L,35:24,14,6,19,31.6,0,2,0.0,2,3,66.7,3,7,10,3,3,2,1,2,-26
Nov 21, 2024 - LAL vs. ORL,L,37:46,39,14,22,63.6,1,1,100,10,13,76.9,4,5,9,2,0,3,3,4,0
Nov 19, 2024 - LAL vs. UTA,W,33:52,26,10,15,66.7,0,1,0.0,6,10,60.0,4,10,14,6,2,0,0,3,4
Nov 16, 2024 - LAL @ NOP,W,37:14,31,12,20,60.0,2,4,50.0,5,7,71.4,3,11,14,1,2,1,2,3,2
Nov 15, 2024 - LAL @ SAS,W,36:10,40,14,26,53.8,2,4,50.0,10,12,83.3,5,7,12,2,1,2,2,1,12
Nov 13, 2024 - LAL vs. MEM,W,32:00,21,6,16,37.5,2,3,66.7,7,8,87.5,2,12,14,3,0,3,3,5,-6
Nov 10, 2024 - LAL vs. TOR,W,25:53,22,6,8,75.0,2,2,100,8,10,80.0,1,3,4,3,1,2,0,1,-3
Nov 08, 2024 - LAL vs. PHI,W,35:30,31,11,20,55.0,2,3,66.7,7,8,87.5,3,6,9,1,0,4,3,2,20
Nov 04, 2024 - LAL @ DET,L,39:00,37,13,23,56.5,0,4,0.0,11,14,78.6,1,8,9,4,0,0,3,2,-1
Nov 01, 2024 - LAL @ TOR,W,35:42,38,14,20,70.0,0,0,0.0,10,11,90.9,1,10,11,2,3,2,3,0,7
Oct 30, 2024 - LAL @ CLE,L,31:20,22,9,17,52.9,0,1,0.0,4,8,50.0,1,12,13,2,2,0,4,1,-18
Oct 28, 2024 - LAL @ PHX,L,35:30,29,12,24,50.0,0,2,0.0,5,6,83.3,5,10,15,3,1,3,3,1,14
Oct 26, 2024 - LAL vs. SAC,W,37:45,31,10,15,66.7,1,2,50.0,10,13,76.9,3,6,9,2,3,2,2,1,-22
Oct 25, 2024 - LAL vs. PHX,W,37:30,35,11,18,61.1,0,0,0.0,13,17,76.5,1,7,8,4,1,2,1,2,4
Oct 22, 2024 - LAL vs. MIN,W,37:35,36,11,23,47.8,1,3,33.3,13,15,86.7,3,13,16,4,1,3,1,1,1
