Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Nov 23, 2024 - LAL vs. DEN,L,31:51,19,7,13,53.8,3,7,42.9,2,2,100,1,2,3,6,1,0,3,1,-22
Nov 21, 2024 - LAL vs. ORL,L,32:53,9,3,12,25.0,1,4,25.0,2,5,40.0,1,1,2,3,1,0,2,0,-8
Nov 19, 2024 - LAL vs. UTA,W,33:22,17,6,14,42.9,3,7,42.9,2,2,100,0,0,0,5,0,0,3,1,4
Nov 16, 2024 - LAL @ NOP,W,40:50,10,3,15,20.0,2,9,22.2,2,2,100,1,1,2,7,1,0,0,1,9
Nov 15, 2024 - LAL @ SAS,W,32:04,19,6,12,50.0,5,9,55.6,2,2,100,1,2,3,6,0,0,0,3,-8
Nov 13, 2024 - LAL vs. MEM,W,35:53,18,5,14,35.7,3,11,27.3,5,7,71.4,0,2,2,6,1,0,3,4,-1
Nov 10, 2024 - LAL vs. TOR,W,32:35,27,10,17,58.8,3,9,33.3,4,5,80.0,0,1,1,6,1,0,0,4,11
Nov 08, 2024 - LAL vs. PHI,W,29:56,20,7,13,53.8,6,10,60.0,0,0,0.0,0,6,6,7,0,1,2,1,14
Nov 06, 2024 - LAL @ MEM,L,34:56,19,7,17,41.2,2,9,22.2,3,4,75.0,0,3,3,5,3,0,1,1,-9
Nov 04, 2024 - LAL @ DET,L,39:21,17,7,17,41.2,3,10,30.0,0,1,0.0,1,3,4,4,2,0,4,4,-14
Nov 01, 2024 - LAL @ TOR,W,34:18,20,4,13,30.8,0,6,0.0,12,14,85.7,0,1,1,6,2,1,1,3,-3
Oct 30, 2024 - LAL @ CLE,L,27:50,7,2,6,33.3,1,4,25.0,2,2,100,0,2,2,3,0,0,4,0,-14
Oct 28, 2024 - LAL @ PHX,L,37:51,23,8,15,53.3,5,9,55.6,2,3,66.7,0,8,8,3,2,0,1,3,12
Oct 26, 2024 - LAL vs. SAC,W,33:32,16,7,12,58.3,2,4,50.0,0,0,0.0,4,3,7,6,0,0,6,3,-20
Oct 25, 2024 - LAL vs. PHX,W,36:39,26,8,12,66.7,5,7,71.4,5,6,83.3,0,4,4,8,3,1,4,4,13
Oct 22, 2024 - LAL vs. MIN,W,36:02,12,6,14,42.9,0,5,0.0,0,1,0.0,4,5,9,4,1,1,0,4,12
