Player,Team,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
Knecht, Dalton,LAL,6.8,4.1,0.3,0.3,0.7,45.5,0.2,0.4,42.9,0.1,0.3,50.0
Koloko, Christian,LAL,0.8,0.5,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-
Christie, Max,LAL,3.4,2.1,0.2,0.3,0.3,80.0,0.1,0.1,50.0,0.2,0.2,100
Hayes, Jaxson,LAL,4.5,2.8,0.1,0.3,0.8,41.7,0.2,0.4,42.9,0.1,0.3,40.0
Reddish, Cam,LAL,3.8,2.3,0.1,0.1,0.4,33.3,0.1,0.2,33.3,0.1,0.2,33.3
Vincent, Gabe,LAL,4.6,2.8,0.1,0.1,0.5,25.0,0.1,0.3,20.0,0.1,0.2,33.3
Hachimura, Rui,LAL,8.1,4.9,0.2,0.3,0.8,33.3,0.1,0.2,33.3,0.2,0.6,33.3
Russell, D'Angelo,LAL,14.1,8.6,0.4,0.8,1.7,44.4,0.5,0.9,57.1,0.3,0.8,30.8
Davis, Anthony,LAL,25.5,15.5,0.7,1.1,3.4,32.7,0.6,1.6,36.0,0.6,1.9,30.0
James, LeBron,LAL,28.2,17.1,1.9,2.3,5.1,45.7,1.2,2.0,59.4,1.1,3.1,36.7
