Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Nov 23, 2024 - LAL vs. DEN,L,19:53,6,2,3,66.7,2,3,66.7,0,0,0.0,0,0,0,0,2,0,1,2,-23
Nov 21, 2024 - LAL vs. ORL,L,20:49,8,3,4,75.0,2,2,100,0,0,0.0,2,6,8,0,0,0,0,2,1
Nov 19, 2024 - LAL vs. UTA,W,25:13,4,1,1,100,0,0,0.0,2,2,100,0,2,2,0,2,2,0,1,-2
Nov 15, 2024 - LAL @ SAS,W,18:58,0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,3,-16
Nov 13, 2024 - LAL vs. MEM,W,22:32,4,1,1,100,1,1,100,1,4,25.0,1,1,2,0,2,1,1,1,-12
Nov 10, 2024 - LAL vs. TOR,W,28:40,11,5,7,71.4,1,3,33.3,0,0,0.0,1,1,2,1,1,0,0,2,7
Nov 08, 2024 - LAL vs. PHI,W,27:49,3,1,1,100,1,1,100,0,0,0.0,0,5,5,2,1,1,1,1,-6
Nov 06, 2024 - LAL @ MEM,L,25:56,15,5,7,71.4,2,2,100,3,4,75.0,2,4,6,2,2,0,0,3,0
Nov 04, 2024 - LAL @ DET,L,14:01,0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,5,0,1,0,0,2,10
Oct 30, 2024 - LAL @ CLE,L,9:13,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,1
