Player,Team,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"James, Bronny",LAL,1.7,0.2,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Knecht, Dalton",LAL,3.4,0.4,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Koloko, Christian",LAL,2.6,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-
"Christie, Max",LAL,4.3,0.5,0.1,0.1,0.1,100,0.0,0.0,-,0.1,0.1,100
"Reaves, Austin",LAL,28.2,3.3,0.3,0.3,0.8,37.5,0.1,0.3,33.3,0.2,0.5,40.0
"Hayes, Jaxson",LAL,3.4,0.4,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-
"Vincent, Gabe",LAL,1.7,0.2,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Hachimura, Rui",LAL,9.4,1.1,0.2,0.2,0.3,66.7,0.0,0.0,-,0.2,0.3,66.7
"Russell, D'Angelo",LAL,7.7,0.9,0.1,0.1,0.3,33.3,0.0,0.2,0.0,0.1,0.1,100
"Davis, Anthony",LAL,16.2,1.9,0.1,0.1,0.1,100,0.0,0.0,-,0.1,0.1,100
"James, LeBron",LAL,21.4,2.5,0.5,0.5,0.9,55.6,0.3,0.6,50.0,0.2,0.3,66.7

