Player,Team,FREQ M%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"James, Bronny",LAL,0.7,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
"Knecht, Dalton",LAL,3.6,0.5,0.1,0.1,0.2,50.0,0.0,0.0,-,0.1,0.2,50.0
"Koloko, Christian",LAL,0.7,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Christie, Max",LAL,5.8,0.8,0.0,0.1,0.3,33.3,0.1,0.3,33.3,0.0,0.0,-
"Reaves, Austin",LAL,26.6,3.7,0.2,0.2,0.6,33.3,0.1,0.3,33.3,0.1,0.3,33.3
"Hayes, Jaxson",LAL,2.9,0.4,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Vincent, Gabe",LAL,2.9,0.4,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Hachimura, Rui",LAL,3.6,0.5,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0
"Russell, D'Angelo",LAL,5.8,0.8,0.1,0.1,0.2,50.0,0.0,0.1,0.0,0.1,0.1,100
"Davis, Anthony",LAL,14.4,2.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,-
"James, LeBron",LAL,33.1,4.6,0.1,0.4,0.8,50.0,0.4,0.6,66.7,0.0,0.2,0.0
