Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Nov 23, 2024 - LAL vs. DEN,L,18:15,7,2,9,22.2,1,6,16.7,2,2,100,0,2,2,5,0,0,2,0,0
Nov 21, 2024 - LAL vs. ORL,L,23:18,7,3,10,30.0,1,7,14.3,0,0,0.0,0,1,1,6,1,1,0,2,2
Nov 19, 2024 - LAL vs. UTA,W,25:36,8,2,8,25.0,0,4,0.0,4,4,100,1,5,6,6,1,1,4,2,2
Nov 16, 2024 - LAL @ NOP,W,20:51,7,2,5,40.0,1,3,33.3,2,2,100,0,1,1,5,1,0,3,3,9
Nov 15, 2024 - LAL @ SAS,W,29:54,13,5,11,45.5,2,3,66.7,1,1,100,0,2,2,6,3,0,1,1,13
Nov 13, 2024 - LAL vs. MEM,W,20:24,8,3,9,33.3,2,6,33.3,0,0,0.0,0,2,2,2,0,0,1,2,5
Nov 10, 2024 - LAL vs. TOR,W,26:46,15,6,13,46.2,3,9,33.3,0,0,0.0,0,2,2,1,1,0,1,0,18
Nov 08, 2024 - LAL vs. PHI,W,25:24,18,7,12,58.3,2,4,50.0,2,3,66.7,0,2,2,3,0,0,2,0,13
Nov 06, 2024 - LAL @ MEM,L,21:33,12,4,12,33.3,2,9,22.2,2,2,100,0,1,1,3,2,0,1,2,-9
Nov 04, 2024 - LAL @ DET,L,33:02,11,4,14,28.6,2,5,40.0,1,2,50.0,1,2,3,8,1,0,3,2,-1
Nov 01, 2024 - LAL @ TOR,W,32:28,19,7,13,53.8,3,6,50.0,2,2,100,0,3,3,6,0,0,2,4,14
Oct 30, 2024 - LAL @ CLE,L,24:08,10,2,7,28.6,0,3,0.0,6,6,100,1,2,3,5,0,0,0,0,-8
Oct 28, 2024 - LAL @ PHX,L,33:20,14,5,13,38.5,2,9,22.2,2,2,100,0,1,1,9,0,0,2,3,0
Oct 26, 2024 - LAL vs. SAC,W,32:27,16,6,11,54.5,3,6,50.0,1,1,100,1,3,4,5,2,0,2,3,17
Oct 25, 2024 - LAL vs. PHX,W,29:17,5,1,6,16.7,1,3,33.3,2,2,100,1,1,2,5,1,1,2,3,-6
Oct 22, 2024 - LAL vs. MIN,W,34:13,9,4,12,33.3,1,7,14.3,0,0,0.0,0,1,1,5,2,0,1,2,15
