Player,Team,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
Traore, Armel,LAL,0.4,0.2,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
Knecht, Dalton,LAL,10.3,4.7,0.2,0.4,1.1,33.3,0.3,0.7,45.5,0.1,0.4,14.3
Koloko, Christian,LAL,2.9,1.3,0.1,0.1,0.3,50.0,0.1,0.1,100,0.1,0.2,33.3
Christie, Max,LAL,4.3,1.9,0.1,0.2,0.4,50.0,0.2,0.3,75.0,0.0,0.1,0.0
Reaves, Austin,LAL,18.8,8.6,0.6,0.6,1.9,32.3,0.3,0.6,44.4,0.4,1.4,27.3
Hayes, Jaxson,LAL,4.5,2.1,0.1,0.3,0.6,40.0,0.1,0.2,66.7,0.1,0.4,28.6
Reddish, Cam,LAL,1.1,0.5,0.1,0.1,0.1,50.0,0.0,0.1,0.0,0.1,0.1,100
Vincent, Gabe,LAL,6.3,2.9,0.1,0.4,0.9,42.9,0.2,0.4,50.0,0.2,0.5,37.5
Hachimura, Rui,LAL,9.3,4.3,0.2,0.3,0.6,50.0,0.3,0.4,66.7,0.1,0.3,25.0
Davis, Anthony,LAL,20.7,9.4,0.3,0.5,1.6,32.0,0.4,1.1,35.3,0.1,0.5,25.0
James, LeBron,LAL,21.4,9.8,0.7,0.9,2.9,31.9,0.5,1.4,34.8,0.4,1.5,29.2
