Player,Team,FREQ M%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Traore, Armel",LAL,0.3,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Knecht, Dalton",LAL,9.3,4.3,0.9,1.0,1.8,57.1,0.4,0.6,60.0,0.6,1.1,55.6
"Koloko, Christian",LAL,1.4,0.6,0.1,0.1,0.1,50.0,0.1,0.1,100,0.0,0.1,0.0
"Christie, Max",LAL,4.6,2.1,0.3,0.3,0.5,50.0,0.2,0.3,60.0,0.1,0.2,33.3
"Reaves, Austin",LAL,18.7,8.6,0.4,0.8,1.7,44.4,0.5,0.9,57.1,0.3,0.8,30.8
"Hayes, Jaxson",LAL,5.3,2.4,0.1,0.1,0.2,66.7,0.1,0.2,66.7,0.0,0.0,-
"Reddish, Cam",LAL,1.2,0.6,0.1,0.1,0.2,33.3,0.0,0.1,0.0,0.1,0.1,100
"Vincent, Gabe",LAL,6.1,2.8,0.3,0.4,1.1,33.3,0.3,0.4,57.1,0.1,0.7,18.2
"Hachimura, Rui",LAL,7.1,3.3,0.7,0.8,1.8,41.4,0.4,1.2,31.6,0.4,0.6,60.0
"Davis, Anthony",LAL,21.4,9.8,1.2,1.5,3.6,42.1,1.4,3.1,44.0,0.1,0.4,28.6
"James, LeBron",LAL,24.7,11.3,1.1,1.7,3.0,56.3,1.2,2.3,52.8,0.5,0.8,66.7
