Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Nov 23, 2024 - LAL vs. DEN,L,28:03,9,3,7,42.9,1,4,25.0,2,2,100,1,4,5,1,0,0,0,1,-17
Nov 21, 2024 - LAL vs. ORL,L,39:05,17,7,14,50.0,3,7,42.9,0,0,0.0,0,4,4,1,0,0,0,3,5
Nov 19, 2024 - LAL vs. UTA,W,38:25,37,12,16,75.0,9,12,75.0,4,5,80.0,0,5,5,0,1,0,0,2,18
Nov 16, 2024 - LAL @ NOP,W,37:16,27,10,17,58.8,5,10,50.0,2,2,100,2,5,7,2,2,0,0,1,11
Nov 15, 2024 - LAL @ SAS,W,26:01,14,6,11,54.5,2,4,50.0,0,0,0.0,1,2,3,0,0,0,0,0,-9
Nov 13, 2024 - LAL vs. MEM,W,31:08,19,7,8,87.5,5,5,100,0,0,0.0,0,2,2,3,1,0,1,4,17
Nov 10, 2024 - LAL vs. TOR,W,14:48,5,2,4,50.0,1,2,50.0,0,0,0.0,0,1,1,2,0,0,0,0,14
Nov 08, 2024 - LAL vs. PHI,W,16:10,2,1,8,12.5,0,5,0.0,0,0,0.0,0,4,4,0,0,0,0,0,17
Nov 06, 2024 - LAL @ MEM,L,26:52,3,1,7,14.3,1,7,14.3,0,0,0.0,3,1,4,2,1,0,1,2,-14
Nov 04, 2024 - LAL @ DET,L,8:41,5,2,2,100,1,1,100,0,0,0.0,0,0,0,0,0,0,0,1,-8
Nov 01, 2024 - LAL @ TOR,W,19:07,5,2,5,40.0,1,3,33.3,0,0,0.0,1,2,3,1,0,0,1,2,4
Oct 30, 2024 - LAL @ CLE,L,22:29,18,6,12,50.0,2,7,28.6,4,4,100,0,3,3,1,0,0,1,1,-11
Oct 28, 2024 - LAL @ PHX,L,11:14,0,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-13
Oct 26, 2024 - LAL vs. SAC,W,20:10,10,4,7,57.1,2,5,40.0,0,0,0.0,0,0,0,1,0,0,1,3,16
Oct 25, 2024 - LAL vs. PHX,W,13:19,8,2,5,40.0,2,4,50.0,2,2,100,0,1,1,2,1,0,0,0,13
Oct 22, 2024 - LAL vs. MIN,W,15:47,5,2,4,50.0,1,3,33.3,0,0,0.0,0,1,1,2,1,0,1,1,7
