Player,Team,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
James, Bronny,LAL,1.0,0.2,0.1,0.1,0.1,100,0.1,0.1,100,0.0,0.0,-
Koloko, Christian,LAL,0.3,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
Christie, Max,LAL,2.7,0.5,0.1,0.1,0.2,66.7,0.0,0.1,0.0,0.1,0.1,100
Reaves, Austin,LAL,20.2,3.8,0.7,0.7,1.3,55.0,0.2,0.2,100,0.5,1.1,47.1
Hayes, Jaxson,LAL,4.0,0.8,0.3,0.3,0.4,57.1,0.1,0.1,50.0,0.2,0.3,60.0
Reddish, Cam,LAL,1.7,0.3,0.1,0.1,0.1,50.0,0.0,0.0,-,0.1,0.1,50.0
Vincent, Gabe,LAL,4.7,0.9,0.1,0.1,0.3,25.0,0.0,0.1,0.0,0.1,0.2,33.3
Hachimura, Rui,LAL,3.4,0.6,0.2,0.2,0.2,100,0.0,0.0,-,0.2,0.2,100
Russell, D'Angelo,LAL,22.9,4.3,0.9,1.0,1.8,57.1,0.4,0.6,60.0,0.6,1.1,55.6
Davis, Anthony,LAL,9.8,1.8,0.2,0.4,1.0,37.5,0.4,0.7,54.5,0.0,0.3,0.0
James, LeBron,LAL,29.3,5.4,0.9,0.9,2.4,39.5,0.5,0.8,61.5,0.4,1.6,28.0
