Player,Team,FREQ M%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
James, Bronny,LAL,0.3,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
Koloko, Christian,LAL,1.0,0.2,0.1,0.1,0.1,100,0.1,0.1,100,0.0,0.0,-
Christie, Max,LAL,2.8,0.5,0.1,0.1,0.1,50.0,0.0,0.0,-,0.1,0.1,50.0
Reaves, Austin,LAL,22.8,4.1,0.3,0.3,0.7,45.5,0.2,0.4,42.9,0.1,0.3,50.0
Hayes, Jaxson,LAL,3.1,0.6,0.1,0.1,0.1,50.0,0.1,0.1,50.0,0.0,0.0,-
Reddish, Cam,LAL,1.4,0.3,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
Vincent, Gabe,LAL,4.8,0.9,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
Hachimura, Rui,LAL,5.9,1.1,0.1,0.1,0.3,20.0,0.1,0.3,20.0,0.0,0.0,-
Russell, D'Angelo,LAL,26.0,4.7,0.2,0.4,1.1,33.3,0.3,0.7,45.5,0.1,0.4,14.3
Davis, Anthony,LAL,11.4,2.1,0.4,0.6,0.7,81.8,0.4,0.6,77.8,0.1,0.1,100
James, LeBron,LAL,20.4,3.7,0.1,0.3,0.6,44.4,0.2,0.4,50.0,0.1,0.2,33.3
