Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Nov 23, 2024 - LAL vs. DEN,L,13:46,7,3,5,60.0,1,3,33.3,0,0,0.0,0,0,0,1,0,0,1,3,3
Nov 21, 2024 - LAL vs. ORL,L,14:12,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,6
Nov 19, 2024 - LAL vs. UTA,W,18:43,3,1,3,33.3,1,2,50.0,0,0,0.0,0,2,2,1,1,0,0,3,8
Nov 16, 2024 - LAL @ NOP,W,21:38,0,0,2,0.0,0,2,0.0,0,0,0.0,1,1,2,2,0,0,0,1,-9
Nov 15, 2024 - LAL @ SAS,W,19:34,6,2,4,50.0,1,2,50.0,1,2,50.0,1,1,2,0,3,0,0,1,13
Nov 13, 2024 - LAL vs. MEM,W,12:37,0,0,6,0.0,0,4,0.0,0,0,0.0,0,0,0,0,0,0,0,2,6
Nov 10, 2024 - LAL vs. TOR,W,18:29,5,2,5,40.0,1,3,33.3,0,0,0.0,0,1,1,0,1,0,1,1,13
Nov 08, 2024 - LAL vs. PHI,W,15:40,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,3,4
Nov 06, 2024 - LAL @ MEM,L,23:21,6,2,8,25.0,1,6,16.7,1,2,50.0,0,1,1,1,0,0,2,1,-15
Nov 04, 2024 - LAL @ DET,L,17:46,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,-5
Nov 01, 2024 - LAL @ TOR,W,20:32,2,1,6,16.7,0,4,0.0,0,0,0.0,1,2,3,2,0,0,0,4,-4
Oct 30, 2024 - LAL @ CLE,L,16:09,5,2,5,40.0,1,3,33.3,0,0,0.0,0,0,0,0,0,0,1,0,-10
Oct 28, 2024 - LAL @ PHX,L,19:17,3,1,3,33.3,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,0,-5
Oct 26, 2024 - LAL vs. SAC,W,12:38,2,1,6,16.7,0,4,0.0,0,0,0.0,0,0,0,0,1,0,0,1,-5
Oct 25, 2024 - LAL vs. PHX,W,20:35,5,2,5,40.0,1,3,33.3,0,0,0.0,1,1,2,0,3,0,0,4,9
Oct 22, 2024 - LAL vs. MIN,W,17:13,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,2,1,-2
