Player,Team,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Traore, Armel",LAL,2.3,0.4,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"James, Bronny",LAL,1.2,0.2,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
"Knecht, Dalton",LAL,5.4,0.9,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
"Lewis, Maxwell",LAL,0.4,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-
"Koloko, Christian",LAL,6.6,1.1,0.0,0.1,0.2,33.3,0.0,0.1,0.0,0.1,0.1,100
"Christie, Max",LAL,10.5,1.7,0.2,0.2,0.4,50.0,0.1,0.1,100,0.1,0.3,25.0
"Reaves, Austin",LAL,12.4,2.0,0.1,0.1,0.4,28.6,0.1,0.1,50.0,0.1,0.3,20.0
"Hayes, Jaxson",LAL,7.4,1.2,0.0,0.1,0.1,100,0.1,0.1,100,0.0,0.0,-
"Reddish, Cam",LAL,1.6,0.3,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Hachimura, Rui",LAL,2.3,0.4,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-
"Russell, D'Angelo",LAL,17.4,2.8,0.3,0.4,1.1,33.3,0.3,0.4,57.1,0.1,0.7,18.2
"Davis, Anthony",LAL,13.2,2.1,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
"James, LeBron",LAL,19.4,3.1,0.3,0.4,1.4,27.3,0.2,0.6,33.3,0.2,0.8,23.1

