Player,Team,FREQ M%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Traore, Armel",LAL,0.4,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"James, Bronny",LAL,0.4,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Knecht, Dalton",LAL,5.6,0.9,0.1,0.1,0.3,25.0,0.0,0.1,0.0,0.1,0.2,33.3
"Lewis, Maxwell",LAL,0.4,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Koloko, Christian",LAL,3.2,0.5,0.1,0.1,0.1,100,0.1,0.1,100,0.0,0.0,-
"Christie, Max",LAL,8.0,1.3,0.1,0.3,0.5,50.0,0.1,0.3,50.0,0.1,0.3,50.0
"Reaves, Austin",LAL,18.1,2.8,0.1,0.1,0.5,25.0,0.1,0.3,20.0,0.1,0.2,33.3
"Hayes, Jaxson",LAL,4.8,0.8,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-
"Reddish, Cam",LAL,0.8,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Hachimura, Rui",LAL,4.4,0.7,0.1,0.1,0.2,33.3,0.1,0.1,50.0,0.0,0.1,0.0
"Russell, D'Angelo",LAL,18.5,2.9,0.1,0.4,0.9,42.9,0.2,0.4,50.0,0.2,0.5,37.5
"Davis, Anthony",LAL,15.3,2.4,0.1,0.3,0.8,33.3,0.3,0.7,36.4,0.0,0.1,0.0
"James, LeBron",LAL,20.1,3.1,0.1,0.3,0.6,50.0,0.3,0.5,50.0,0.1,0.1,50.0
