Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"Nov 10, 2024 - LAL vs. TOR",W,21:22,12,4,6,66.7,0,0,0.0,4,6,66.7,3,3,6,1,0,1,0,4,21
"Nov 08, 2024 - LAL vs. PHI",W,15:33,8,3,4,75.0,0,0,0.0,2,2,100,1,1,2,0,0,4,0,3,0
"Nov 06, 2024 - LAL @ MEM",L,34:40,8,3,6,50.0,0,0,0.0,2,2,100,2,8,10,1,0,0,1,5,-13
"Nov 04, 2024 - LAL @ DET",L,9:11,5,2,5,40.0,0,0,0.0,1,3,33.3,3,0,3,0,1,0,0,0,-12
"Nov 01, 2024 - LAL @ TOR",W,15:03,4,1,1,100,0,0,0.0,2,2,100,3,3,6,0,0,2,0,3,2
"Oct 30, 2024 - LAL @ CLE",L,19:04,6,2,2,100,0,0,0.0,2,2,100,2,1,3,2,1,0,1,2,-11
"Oct 28, 2024 - LAL @ PHX",L,12:30,0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,4,0,0,0,3,2,-18
"Oct 26, 2024 - LAL vs. SAC",W,14:28,4,2,2,100,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,2,24
"Oct 25, 2024 - LAL vs. PHX",W,17:32,6,3,3,100,0,0,0.0,0,0,0.0,1,5,6,4,1,1,1,3,5
"Oct 22, 2024 - LAL vs. MIN",W,15:20,10,4,5,80.0,0,0,0.0,2,2,100,3,1,4,0,0,1,0,3,-1
