Player,Team,FREQ M%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"James, Bronny","LAL",1.5,0.3,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
"Knecht, Dalton","LAL",6.2,1.2,0.4,0.4,0.7,57.1,0.1,0.2,50.0,0.3,0.5,60.0
"Christie, Max","LAL",1.5,0.3,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
"Reaves, Austin","LAL",22.7,4.4,0.2,0.5,1.2,41.7,0.3,0.7,42.9,0.2,0.5,40.0
"Reddish, Cam","LAL",2.1,0.4,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-
"Vincent, Gabe","LAL",9.8,1.9,0.0,0.1,0.1,100,0.1,0.1,100,0.0,0.0,-
"Hachimura, Rui","LAL",0.5,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Russell, D'Angelo","LAL",17.0,3.3,0.1,0.4,1.0,40.0,0.2,0.3,66.7,0.2,0.7,28.6
"Davis, Anthony","LAL",1.5,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,-
"James, LeBron","LAL",37.1,7.2,0.2,1.0,2.0,50.0,0.5,1.0,50.0,0.5,1.0,50.0
