Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"Nov 23, 2024 - LAL vs. DEN",L,34:41,18,7,17,41.2,1,4,25.0,3,3,100,0,6,6,7,3,0,6,3,-25
"Nov 21, 2024 - LAL vs. ORL",L,37:03,31,12,22,54.5,5,9,55.6,2,4,50.0,2,8,10,7,0,1,4,0,-8
"Nov 19, 2024 - LAL vs. UTA",W,33:53,26,9,17,52.9,1,5,20.0,7,11,63.6,0,2,2,12,0,0,4,1,-5
"Nov 16, 2024 - LAL @ NOP",W,37:02,21,8,19,42.1,2,7,28.6,3,5,60.0,4,3,7,5,1,0,6,1,1
"Nov 15, 2024 - LAL @ SAS",W,37:49,15,6,12,50.0,1,4,25.0,2,4,50.0,1,15,16,12,1,0,7,0,3
"Nov 13, 2024 - LAL vs. MEM",W,36:56,35,13,22,59.1,4,7,57.1,5,8,62.5,1,11,12,14,1,0,6,2,3
"Nov 10, 2024 - LAL vs. TOR",W,34:47,19,6,14,42.9,0,3,0.0,7,7,100,2,8,10,16,1,0,3,0,13
"Nov 08, 2024 - LAL vs. PHI",W,33:48,21,9,14,64.3,2,4,50.0,1,1,100,0,12,12,13,0,3,2,0,12
"Nov 06, 2024 - LAL @ MEM",L,35:25,39,15,24,62.5,6,11,54.5,3,4,75.0,0,7,7,6,1,0,5,2,-21
"Nov 04, 2024 - LAL @ DET",L,40:00,20,7,16,43.8,1,2,50.0,5,5,100,1,7,8,11,2,0,1,1,-16
"Nov 01, 2024 - LAL @ TOR",W,36:15,27,9,17,52.9,5,8,62.5,4,6,66.7,0,6,6,10,1,0,0,1,11
"Oct 30, 2024 - LAL @ CLE",L,28:58,26,9,13,69.2,1,3,33.3,7,7,100,1,5,6,3,0,0,6,2,-17
"Oct 28, 2024 - LAL @ PHX",L,35:48,11,3,14,21.4,2,5,40.0,3,6,50.0,0,5,5,8,1,0,2,1,-17
"Oct 26, 2024 - LAL vs. SAC",W,33:46,32,12,22,54.5,4,9,44.4,4,4,100,0,14,14,10,0,1,5,3,13
"Oct 25, 2024 - LAL vs. PHX",W,34:42,21,7,13,53.8,2,5,40.0,5,8,62.5,0,4,4,8,0,0,2,1,14
"Oct 22, 2024 - LAL vs. MIN",W,34:39,16,7,16,43.8,1,4,25.0,1,1,100,0,5,5,4,0,2,2,3,-6
