Player,Team,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"James, Bronny","LAL",0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-
"Knecht, Dalton","LAL",5.5,3.7,0.1,0.3,0.6,44.4,0.2,0.4,50.0,0.1,0.2,33.3
"Koloko, Christian","LAL",2.5,1.7,0.0,0.2,0.5,37.5,0.1,0.3,50.0,0.1,0.3,25.0
"Christie, Max","LAL",3.5,2.3,0.1,0.1,0.5,12.5,0.0,0.3,0.0,0.1,0.2,33.3
"Reaves, Austin","LAL",26.1,17.4,1.4,2.1,4.8,44.7,1.7,3.3,50.9,0.4,1.4,30.4
"Hayes, Jaxson","LAL",6.8,4.5,0.1,0.6,1.3,50.0,0.3,0.6,50.0,0.3,0.6,50.0
"Reddish, Cam","LAL",4.3,2.9,0.1,0.3,0.5,50.0,0.3,0.4,66.7,0.0,0.1,0.0
"Vincent, Gabe","LAL",4.7,3.1,0.1,0.3,0.6,50.0,0.3,0.5,50.0,0.1,0.1,50.0
"Hachimura, Rui","LAL",6.2,4.1,0.2,0.4,1.1,35.3,0.3,0.6,44.4,0.1,0.5,25.0
"Russell, D'Angelo","LAL",17.0,11.3,1.1,1.7,3.0,56.3,1.2,2.3,52.8,0.5,0.8,66.7
"Davis, Anthony","LAL",23.2,15.4,1.1,1.9,3.9,47.6,1.2,2.8,43.2,0.7,1.2,57.9
