Player,Team,FREQ M%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Traoré, Armel","LAL",0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
"James, Bronny","LAL",0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.1,0.0
"Knecht, Dalton","LAL",9.1,5.4,0.9,0.9,2.4,39.5,0.5,0.8,61.5,0.4,1.6,28.0
"Koloko, Christian","LAL",1.6,0.9,0.1,0.1,0.3,50.0,0.1,0.3,50.0,0.0,0.0,-
"Christie, Max","LAL",3.3,2.0,0.3,0.3,1.0,25.0,0.1,0.4,28.6,0.1,0.6,22.2
"Reaves, Austin","LAL",28.6,17.1,1.9,2.3,5.1,45.7,1.2,2.0,59.4,1.1,3.1,36.7
"Hayes, Jaxson","LAL",4.1,2.4,0.6,0.7,1.2,57.9,0.7,1.2,57.9,0.0,0.0,-
"Reddish, Cam","LAL",2.6,1.6,0.3,0.3,0.6,55.6,0.2,0.4,50.0,0.1,0.2,66.7
"Vincent, Gabe","LAL",5.2,3.1,0.3,0.4,1.4,27.3,0.2,0.6,33.3,0.2,0.8,23.1
"Hachimura, Rui","LAL",6.6,3.9,0.9,1.0,2.1,47.1,0.5,1.2,42.1,0.5,0.9,53.3
"Russell, D'Angelo","LAL",16.3,9.8,0.7,0.9,2.9,31.9,0.5,1.4,34.8,0.4,1.5,29.2
"Davis, Anthony","LAL",22.4,13.4,3.0,3.1,5.7,54.9,2.8,4.7,58.7,0.4,1.0,37.5
