Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"Nov 23, 2024 - LAL vs. DEN",L,22:27,10,4,7,57.1,2,4,50.0,0,0,0.0,1,1,2,3,1,0,0,1,-13
"Nov 13, 2024 - LAL vs. MEM",W,35:47,19,6,7,85.7,3,4,75.0,4,5,80.0,3,4,7,3,1,1,1,1,7
"Nov 10, 2024 - LAL vs. TOR",W,31:40,4,2,11,18.2,0,5,0.0,0,0,0.0,3,2,5,0,2,1,0,2,6
"Nov 08, 2024 - LAL vs. PHI",W,32:50,9,3,8,37.5,3,6,50.0,0,0,0.0,1,3,4,1,0,0,1,5,-4
"Nov 04, 2024 - LAL @ DET",L,34:46,8,2,6,33.3,2,2,100,2,2,100,0,4,4,1,0,1,0,2,-7
"Nov 01, 2024 - LAL @ TOR",W,33:13,9,3,12,25.0,2,5,40.0,1,1,100,1,4,5,1,0,0,1,0,-6
"Oct 30, 2024 - LAL @ CLE",L,28:17,8,4,6,66.7,0,1,0.0,0,0,0.0,0,5,5,2,1,0,2,1,-11
"Oct 28, 2024 - LAL @ PHX",L,31:21,20,8,18,44.4,3,3,100,1,1,100,5,5,10,1,1,1,0,5,20
"Oct 26, 2024 - LAL vs. SAC",W,37:21,18,5,13,38.5,2,2,100,6,6,100,4,5,9,3,0,0,1,1,17
"Oct 25, 2024 - LAL vs. PHX",W,39:01,14,5,12,41.7,2,4,50.0,2,4,50.0,2,5,7,2,0,0,1,1,0
"Oct 22, 2024 - LAL vs. MIN",W,35:05,18,7,14,50.0,1,4,25.0,3,4,75.0,3,2,5,1,2,1,0,2,19
