Player,Team,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Knecht, Dalton","LAL",7.1,1.6,0.1,0.1,0.5,20.0,0.1,0.5,20.0,0.0,0.0,-
"Christie, Max","LAL",3.3,0.7,0.1,0.1,0.4,25.0,0.0,0.2,0.0,0.1,0.2,50.0
"Reaves, Austin","LAL",22.8,5.0,0.7,0.8,2.0,40.9,0.6,1.4,37.5,0.3,0.6,50.0
"Hayes, Jaxson","LAL",0.4,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Reddish, Cam","LAL",2.1,0.5,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0
"Vincent, Gabe","LAL",4.6,1.0,0.1,0.1,0.3,33.3,0.1,0.2,50.0,0.0,0.1,0.0
"Russell, D'Angelo","LAL",21.6,4.7,1.0,1.1,2.6,41.4,0.6,1.7,31.6,0.6,0.9,60.0
"Davis, Anthony","LAL",12.0,2.6,0.4,0.4,0.8,44.4,0.2,0.4,50.0,0.2,0.5,40.0
"James, LeBron","LAL",26.1,5.7,1.4,1.4,3.1,47.1,0.7,1.7,42.1,0.7,1.4,53.3

