Player,Team,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Traore, Armel",LAL,0.2,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Knecht, Dalton",LAL,4.4,2.3,0.4,0.7,0.8,80.0,0.5,0.7,75.0,0.2,0.2,100
"Christie, Max",LAL,3.9,2.0,0.1,0.5,0.8,60.0,0.5,0.8,60.0,0.0,0.0,-
"Reaves, Austin",LAL,29.4,15.0,1.5,2.0,6.0,33.3,1.8,5.6,32.8,0.2,0.4,40.0
"Hayes, Jaxson",LAL,0.5,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,-
"Reddish, Cam",LAL,2.5,1.3,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,-
"Vincent, Gabe",LAL,5.9,3.0,0.1,0.3,0.8,30.0,0.3,0.8,33.3,0.0,0.1,0.0
"Hachimura, Rui",LAL,4.2,2.2,0.3,0.4,0.9,45.5,0.4,0.9,45.5,0.0,0.0,-
"Russell, D'Angelo",LAL,21.4,10.9,1.4,1.8,3.9,44.7,1.6,3.3,47.5,0.2,0.6,28.6
"James, LeBron",LAL,27.6,14.1,3.4,3.6,6.5,55.1,3.1,5.3,57.8,0.5,1.2,42.9
